,primaryName,top genre,name identifier,top genre identifier
0,Fred Astaire,Drama,21802247036943665568160510565,0
1,Lauren Bacall,Comedy,6051502381578490654502777089132,1
2,Brigitte Bardot,Romance,345012138319622075946090821023199092,2
3,John Belushi,Comedy,23036574650337357349357054057,1
4,Ingmar Bergman,Drama,1489363008132241756814756060946798,0
5,Ingrid Bergman,Drama,1489363014214391532333827162464622,0
6,Humphrey Bogart,Drama,376227086396438496365412100046156404,0
7,Marlon Brando,Drama,6130726889165564691801002894447,0
8,Richard Burton,Drama,1671507309767871975796668363992942,0
9,James Cagney,Drama,23019673140645642950815933817,0
10,Gary Cooper,Drama,86293914398351653612840306,0
11,Bette Davis,Drama,80268211318793269117610355,0
12,Doris Day,Comedy,1262409194040988033401,1
13,Olivia de Havilland,Drama,1771202884609140666227560291985661664759475812,0
14,James Dean,Drama,351252336740808777884014,0
16,Marlene Dietrich,Drama,102856529253444213710891016036150764392,0
17,Kirk Douglas,Adventure,23338853273566185101846143347,3
19,Henry Fonda,Drama,87521655417530922191184993,0
20,Joan Fontaine,Drama,5897354648005917226351528078949,0
21,Clark Gable,Romance,81509843073224259995331685,2
22,Judy Garland,Drama,23043809518704701459084176996,0
23,John Gielgud,Drama,23036574650338769092070569316,0
25,Cary Grant,Mystery,318196137187099795353204,4
26,Alec Guinness,Comedy,5183377514105395040674847748979,1
27,Rita Hayworth,Drama,6529345946261052443982612821096,0
28,Margaux Hemingway,Drama,26331271387154947406405513714186216497529,0
29,Audrey Hepburn,Comedy,1327657406049246472653108292186734,1
30,Katharine Hepburn,Drama,25650717058188250932743492578636402618990,0
31,Charlton Heston,Adventure,350000980664782066664125332045721454,3
32,Alfred Hitchcock,Mystery,86962665655910423244555628571104600939,4
33,William Holden,Drama,1772922148024387984219161481209198,0
35,Buster Keaton,Comedy,5265408048225656156711678144366,1
36,Gene Kelly,Musical,337159096235014490975353,5
37,Grace Kelly,Thriller,86373879468027251383889017,6
38,Deborah Kerr,Drama,21167547023378438907899507314,0
41,Alan Ladd,Drama,1206848009104957465700,0
42,Veronica Lake,Crime,6845018305981540419538593606501,7
43,Burt Lancaster,Drama,1347944150534218584773352007951730,0
44,Bruce Lee,Action,1225732716443414062437,8
45,Vivien Leigh,Drama,26743207239157133089073358696,0
46,Sophia Loren,Drama,25821977412249715567989253486,0
47,Peter Lorre,Crime,97193171716193376286175845,7
49,Groucho Marx,Comedy,22111779588863320151872860792,1
50,James Mason,Drama,89920598205647085727084398,0
51,Marcello Mastroianni,Comedy,441765426261058654591265207074142550450861141609,1
52,Robert Mitchum,Crime,1671982365711482518123060545484141,7
53,Marilyn Monroe,Comedy,1569466079985648527874935036735333,1
55,Paul Newman,Drama,97174301178378866633040238,0
56,David Niven,Comedy,82667209592664229995242862,1
57,Maureen O'Hara,Comedy,1569467019287584868182131222868577,1
58,Laurence Olivier,Drama,101527362580257075704075497640200594802,0
59,Gregory Peck,Drama,22111732107811591296876110699,0
60,Tyrone Power,Romance,26143561254488795070995064178,2
61,Elvis Presley,Comedy,5500310745763843844196174423417,1
62,Anthony Quinn,Drama,5184014643084268438099799404142,0
63,Edward G. Robinson,Crime,6044934650087972048470131478783460317032302,7
65,Jane Russell,Comedy,23019677857045474317240200300,1
67,Randolph Scott,Western,1670876884033165952648689163924596,9
68,Frank Sinatra,Drama,5581370454359083641315626611297,0
70,James Stewart,Comedy,5893036324005289119890788151924,1
71,Elizabeth Taylor,Drama,92279639118864166569220559103371014002,0
72,Shirley Temple,Comedy,1691712360260034242967531242417253,1
73,Gene Tierney,Drama,22096058530860447323432838521,0
74,Spencer Tracy,Drama,6610722432585562465158431859577,0
77,John Wayne,Drama,351510233312122558312037,0
78,Raquel Welch,Adventure,25495572402842787414356550504,3
79,Orson Welles,Drama,24587678446991888982683182451,0
80,Natalie Wood,Drama,24257646162225608637381832548,0
83,Li Gong,Drama,21507685588364903,0
85,Louis de Funès,Comedy,396875211044771872298549748619782259,1
86,Elena Koreneva,Drama,1408074295630003201511383026202209,0
88,Richard Paul,Drama,25505177456174804318420039020,0
89,Armin Mueller-Stahl,Drama,1459516469419452940473242137960214676075800684,0
90,Gérard Pirès,Action,1455553014793933081833111665485939,8
91,John Cleese,Comedy,89986619727881431603835749,1
92,Brad Pitt,Action,1225727087747845944436,8
94,Woody Allen,Comedy,105702783814516791917176174,1
95,Gillian Anderson,Drama,94922577960367641689187843312863899502,0
96,Pamela Anderson,Comedy,417359809673063122160057139143602030,1
97,Jennifer Aniston,Comedy,98889533483569785967296850988337753966,1
98,Patricia Arquette,Drama,27352129096246222248882664497361827689573,0
99,Rowan Atkinson,Comedy,1671988860040548884357596191092590,1
